"des","pitcher_name","pitch_type","start_speed","end_speed"
"In play, out(s)","Phil Hughes","FF","93.4","85.1"
"Called Strike","Phil Hughes","FF","90.9","83.6"
"Swinging Strike","Phil Hughes","FF","94.6","87.1"
"Ball","Phil Hughes","FF","95.1","87.4"
"Called Strike","Phil Hughes","FF","94.6","86.2"
"Foul","Phil Hughes","FC","88.7","82.0"
"In play, out(s)","Phil Hughes","FF","93.1","84.6"
"Called Strike","Phil Hughes","FF","93.0","86.7"
"In play, out(s)","Phil Hughes","FF","93.5","86.3"
"Ball","Phil Hughes","FF","93.5","84.9"
"Foul","Phil Hughes","FF","89.2","82.0"
"Swinging Strike","Phil Hughes","FF","93.6","85.8"
"Foul","Phil Hughes","FF","93.4","85.6"
"Foul Tip","Phil Hughes","FF","93.8","85.7"
"Ball","Phil Hughes","FF","92.3","84.0"
"Called Strike","Phil Hughes","FC","88.9","81.7"
"Swinging Strike","Phil Hughes","FF","91.7","84.9"
"In play, out(s)","Phil Hughes","FF","93.0","85.8"
"Called Strike","Phil Hughes","FF","92.7","86.0"
"In play, out(s)","Phil Hughes","FF","93.5","86.1"
"Called Strike","Phil Hughes","FF","92.9","84.8"
"Ball","Phil Hughes","FC","87.3","81.7"
"Foul","Phil Hughes","FF","91.4","84.7"
"In play, out(s)","Phil Hughes","FF","91.9","84.9"
"Ball","Mariano Rivera","FC","92.0","85.7"
"Ball","Mariano Rivera","FC","92.0","86.1"
"Foul","Mariano Rivera","FC","91.3","85.3"
"Foul","Mariano Rivera","FC","92.0","85.7"
"In play, no out","Mariano Rivera","FC","92.1","85.5"
"Ball","Mariano Rivera","FC","91.9","85.4"
"Ball","Mariano Rivera","FC","91.9","85.4"
"Called Strike","Mariano Rivera","FC","92.0","85.5"
"Called Strike","Mariano Rivera","FC","92.0","85.5"
"Swinging Strike","Mariano Rivera","FC","91.8","85.7"
"Swinging Strike","Mariano Rivera","FC","91.8","85.7"
"Foul","Mariano Rivera","FC","92.8","86.4"
"Foul","Mariano Rivera","FC","92.8","86.4"
"In play, out(s)","Mariano Rivera","FC","92.1","86.5"
"In play, out(s)","Mariano Rivera","FC","92.1","86.5"
"Foul","Mariano Rivera","FF","92.6","86.5"
"In play, out(s)","Mariano Rivera","FF","92.5","86.0"
"In play, run(s)","Mariano Rivera","FC","91.0","84.7"
"Ball","Mariano Rivera","FC","92.2","85.7"
"Called Strike","Mariano Rivera","FC","91.1","85.4"
"Ball","Mariano Rivera","FC","90.9","84.7"
"Foul","Mariano Rivera","FC","90.7","85.2"
"In play, out(s)","Mariano Rivera","FC","91.1","84.6"
"Called Strike","Phil Hughes","FF","92.5","85.8"
"In play, no out","Phil Hughes","FF","93.3","85.9"
"Foul","Phil Hughes","FF","92.0","85.7"
"Called Strike","Phil Hughes","FF","92.2","84.7"
"Called Strike","Phil Hughes","FF","92.2","84.7"
"Called Strike","Phil Hughes","FF","91.1","84.4"
"Called Strike","Phil Hughes","FF","91.7","85.3"
"In play, out(s)","Phil Hughes","FF","91.8","84.8"
"Ball","Phil Hughes","FC","87.5","81.0"
"Ball","Phil Hughes","FF","91.6","85.4"
"Foul","Phil Hughes","FC","88.0","82.1"
"Called Strike","Phil Hughes","FF","91.8","85.5"
"In play, out(s)","Phil Hughes","FC","88.3","82.6"
"Foul","Phil Hughes","FF","90.8","83.3"
"Foul","Phil Hughes","FF","90.8","83.3"
"Called Strike","Phil Hughes","FF","91.0","84.0"
