colour	x	y	group	clickSelects
#C49A00	0.705831903945111	0.76810477207048	61	Albania
#C49A00	0.722984562607203	0.776269793907401	61	Albania
#C49A00	0.740137221269296	0.784323845933924	61	Albania
#C49A00	0.757289879931389	0.791879673914453	61	Albania
#C49A00	0.774442538593481	0.798697476649121	61	Albania
#C49A00	0.791595197255574	0.804630941202988	61	Albania
#C49A00	0.808747855917666	0.809571758000838	61	Albania
#C49A00	0.825900514579759	0.813511946337128	61	Albania
#C49A00	0.843053173241851	0.816591358575647	61	Albania
#C49A00	0.860205831903944	0.819143284181183	61	Albania
#C49A00	0.877358490566037	0.821439067142171	61	Albania
#C49A00	0.894511149228129	0.823625780460748	61	Albania
#C49A00	0.911663807890222	0.82580489310738	61	Albania
#C49A00	0.928816466552314	0.828006807769848	61	Albania
#C49A00	0.945969125214407	NA	61	Albania
#C49A00	0.0540308747855932	0.65367741600564	42	Armenia
#C49A00	0.0711835334476857	0.660245156633318	42	Armenia
#C49A00	0.0883361921097783	0.666883203476486	42	Armenia
#C49A00	0.105488850771871	0.673560393780173	42	Armenia
#C49A00	0.122641509433963	0.680230363445511	42	Armenia
#C49A00	0.139794168096056	0.686877911128612	42	Armenia
#C49A00	0.156946826758149	0.693494676090336	42	Armenia
#C49A00	0.174099485420241	0.699995910838494	42	Armenia
#C49A00	0.191252144082334	0.706225041531023	42	Armenia
#C49A00	0.208404802744426	0.712025874359449	42	Armenia
#C49A00	0.225557461406519	0.717101223050726	42	Armenia
#C49A00	0.242710120068611	0.721130719282369	42	Armenia
#C49A00	0.259862778730704	0.724004913378373	42	Armenia
#C49A00	0.277015437392797	0.725746987388167	42	Armenia
#C49A00	0.294168096054889	0.726442828904733	42	Armenia
#C49A00	0.311320754716982	0.726497933776334	42	Armenia
#C49A00	0.328473413379074	0.726434848199191	42	Armenia
#C49A00	0.345626072041167	0.726636646039329	42	Armenia
#C49A00	0.362778730703259	0.727253440567667	42	Armenia
#C49A00	0.379931389365352	0.728177302242582	42	Armenia
#C49A00	0.397084048027445	0.728875423960731	42	Armenia
#C49A00	0.414236706689537	0.72854251452954	42	Armenia
#C49A00	0.43138936535163	0.726618024393064	42	Armenia
#C49A00	0.448542024013722	0.722827189260494	42	Armenia
#C49A00	0.465694682675815	0.717328863175478	42	Armenia
#C49A00	0.482847341337907	0.710556664472481	42	Armenia
#C49A00	0.5	0.703183632652228	42	Armenia
#C49A00	0.517152658662093	0.696105126869846	42	Armenia
#C49A00	0.534305317324185	0.690136319191435	42	Armenia
#C49A00	0.551457975986278	0.685754151781543	42	Armenia
#C49A00	0.56861063464837	0.683333337767059	42	Armenia
#C49A00	0.585763293310463	0.683003468604646	42	Armenia
#C49A00	0.602915951972555	0.684444175971822	42	Armenia
#C49A00	0.620068610634648	0.687314569731852	42	Armenia
#C49A00	0.637221269296741	0.691461876378643	42	Armenia
#C49A00	0.654373927958833	0.696783486840939	42	Armenia
#C49A00	0.671526586620926	0.70315589019963	42	Armenia
#C49A00	0.688679245283018	0.710357526867521	42	Armenia
#C49A00	0.705831903945111	0.718053207211838	42	Armenia
#C49A00	0.722984562607203	0.725952205530683	42	Armenia
#C49A00	0.740137221269296	0.733695390074656	42	Armenia
#C49A00	0.757289879931389	0.740996975578623	42	Armenia
#C49A00	0.774442538593481	0.747721290048369	42	Armenia
#C49A00	0.791595197255574	0.753779025588537	42	Armenia
#C49A00	0.808747855917666	0.759045911212828	42	Armenia
#C49A00	0.825900514579759	0.763475582822376	42	Armenia
#C49A00	0.843053173241851	0.767114024482448	42	Armenia
#C49A00	0.860205831903944	0.770130731177421	42	Armenia
#C49A00	0.877358490566037	0.772750302763266	42	Armenia
#C49A00	0.894511149228129	0.775081048815201	42	Armenia
#C49A00	0.911663807890222	0.777231658942041	42	Armenia
#C49A00	0.928816466552314	0.779295621408707	42	Armenia
#C49A00	0.945969125214407	NA	42	Armenia
#FB61D7	0.0540308747855932	0.141539199914507	183	Angola
#FB61D7	0.0711835334476857	0.147785432118911	183	Angola
#FB61D7	0.0883361921097783	0.154031664323316	183	Angola
#FB61D7	0.105488850771871	0.160277516494123	183	Angola
#FB61D7	0.122641509433963	0.166515767992984	183	Angola
#FB61D7	0.139794168096056	0.172761620163792	183	Angola
#FB61D7	0.156946826758149	0.179030654384032	183	Angola
#FB61D7	0.174099485420241	0.185330851359245	183	Angola
#FB61D7	0.191252144082334	0.191646629711946	183	Angola
#FB61D7	0.208404802744426	0.197954807392702	183	Angola
#FB61D7	0.225557461406519	0.204270965779	183	Angola
#FB61D7	0.242710120068611	0.210626267625815	183	Angola
#FB61D7	0.259862778730704	0.216966748162337	183	Angola
#FB61D7	0.277015437392797	0.223221721139479	183	Angola
#FB61D7	0.294168096054889	0.229267295604535	183	Angola
#FB61D7	0.311320754716982	0.234932456438743	183	Angola
#FB61D7	0.328473413379074	0.240008185163617	183	Angola
#FB61D7	0.345626072041167	0.244377431431202	183	Angola
#FB61D7	0.362778730703259	0.248023853796818	183	Angola
#FB61D7	0.379931389365352	0.25097709488105	183	Angola
#FB61D7	0.397084048027445	0.25335838540142	183	Angola
#FB61D7	0.414236706689537	0.255359262290942	183	Angola
#FB61D7	0.43138936535163	0.257226367354232	183	Angola
#FB61D7	0.448542024013722	0.259091952283134	183	Angola
#FB61D7	0.465694682675815	0.26105064544336	183	Angola
#FB61D7	0.482847341337907	0.262996037427684	183	Angola
#FB61D7	0.5	0.264713409253659	183	Angola
#FB61D7	0.517152658662093	0.266075449666203	183	Angola
#FB61D7	0.534305317324185	0.267069997590207	183	Angola
#FB61D7	0.551457975986278	0.267840325691832	183	Angola
#FB61D7	0.56861063464837	0.268622054801376	183	Angola
#FB61D7	0.585763293310463	0.269673227731371	183	Angola
#FB61D7	0.602915951972555	0.271319533274659	183	Angola
#FB61D7	0.620068610634648	0.273869558712207	183	Angola
#FB61D7	0.637221269296741	0.277578306587772	183	Angola
#FB61D7	0.654373927958833	0.282793507642837	183	Angola
#FB61D7	0.671526586620926	0.289815768452826	183	Angola
#FB61D7	0.688679245283018	0.298541719879288	183	Angola
#FB61D7	0.705831903945111	0.308711418941702	183	Angola
#FB61D7	0.722984562607203	0.32000449731759	183	Angola
#FB61D7	0.740137221269296	0.331937172237649	183	Angola
#FB61D7	0.757289879931389	0.343909750685418	183	Angola
#FB61D7	0.774442538593481	0.355418308110947	183	Angola
#FB61D7	0.791595197255574	0.366036066784519	183	Angola
#FB61D7	0.808747855917666	0.375546027522109	183	Angola
#FB61D7	0.825900514579759	0.383877884108223	183	Angola
#FB61D7	0.843053173241851	0.391180989746579	183	Angola
#FB61D7	0.860205831903944	0.397852099512709	183	Angola
#FB61D7	0.877358490566037	0.404273527205445	183	Angola
#FB61D7	0.894511149228129	0.410562323172742	183	Angola
#FB61D7	0.911663807890222	0.416835917796149	183	Angola
#FB61D7	0.928816466552314	0.423156636585614	183	Angola
#FB61D7	0.945969125214407	NA	183	Angola
#53B400	0.0540308747855932	0.643100700960569	46	Argentina
#53B400	0.0711835334476857	0.644993648308473	46	Argentina
#53B400	0.0883361921097783	0.646436635877231	46	Argentina
#53B400	0.105488850771871	0.647625380969431	46	Argentina
#53B400	0.122641509433963	0.648771182265139	46	Argentina
#53B400	0.139794168096056	0.650123721837753	46	Argentina
#53B400	0.156946826758149	0.651916720349579	46	Argentina
#53B400	0.174099485420241	0.654211743243373	46	Argentina
#53B400	0.191252144082334	0.657078336667431	46	Argentina
#53B400	0.208404802744426	0.660523341226504	46	Argentina
#53B400	0.225557461406519	0.664499632754534	46	Argentina
#53B400	0.242710120068611	0.668890160903565	46	Argentina
#53B400	0.259862778730704	0.673476026321584	46	Argentina
#53B400	0.277015437392797	0.678085453822632	46	Argentina
#53B400	0.294168096054889	0.682648137191216	46	Argentina
#53B400	0.311320754716982	0.687163696393743	46	Argentina
#53B400	0.328473413379074	0.691662914151589	46	Argentina
#53B400	0.345626072041167	0.696216096680243	46	Argentina
#53B400	0.362778730703259	0.700846806062737	46	Argentina
#53B400	0.379931389365352	0.705493096822719	46	Argentina
#53B400	0.397084048027445	0.710014356529204	46	Argentina
#53B400	0.414236706689537	0.714255151440919	46	Argentina
#53B400	0.43138936535163	0.718129593964885	46	Argentina
#53B400	0.448542024013722	0.721583719330291	46	Argentina
#53B400	0.465694682675815	0.724656290964059	46	Argentina
#53B400	0.482847341337907	0.727417235048083	46	Argentina
#53B400	0.5	0.730022365357232	46	Argentina
#53B400	0.517152658662093	0.732650677715814	46	Argentina
#53B400	0.534305317324185	0.735426443110131	46	Argentina
#53B400	0.551457975986278	0.738412367083724	46	Argentina
#53B400	0.56861063464837	0.741624031014086	46	Argentina
#53B400	0.585763293310463	0.745046233557324	46	Argentina
#53B400	0.602915951972555	0.748569905071028	46	Argentina
#53B400	0.620068610634648	0.752117518701359	46	Argentina
#53B400	0.637221269296741	0.755649550954203	46	Argentina
#53B400	0.654373927958833	0.759158401157614	46	Argentina
#53B400	0.671526586620926	0.76262772786691	46	Argentina
#53B400	0.688679245283018	0.766072732425984	46	Argentina
#53B400	0.705831903945111	0.769486194196485	46	Argentina
#53B400	0.722984562607203	0.77286735311122	46	Argentina
#53B400	0.740137221269296	0.776209748599035	46	Argentina
#53B400	0.757289879931389	0.779505779987987	46	Argentina
#53B400	0.774442538593481	0.782763808017212	46	Argentina
#53B400	0.791595197255574	0.785968631342822	46	Argentina
#53B400	0.808747855917666	0.789105048620929	46	Argentina
#53B400	0.825900514579759	0.792157098440446	46	Argentina
#53B400	0.843053173241851	0.795117180129426	46	Argentina
#53B400	0.860205831903944	0.797976932948735	46	Argentina
#53B400	0.877358490566037	0.800743577536717	46	Argentina
