colour	y	x	showSelected	clickSelects	PANEL	fill
#F8766D	0.43012987012987	0.257575757575758	2011_08_24	687	1	#F8766D
#F8766D	0.310519480519481	0.418939393939394	2011_08_30	695	1	#F8766D
#F8766D	0.512077922077922	0.765909090909091	2011_08_30	696	1	#F8766D
#F8766D	0.285974025974026	0.41030303030303	2011_09_01	697	1	#F8766D
#00BFC4	0.365324675324675	0.751060606060606	2011_09_01	698	1	#00BFC4
#F8766D	0.27961038961039	0.625151515151515	2011_09_01	699	1	#F8766D
#F8766D	0.609090909090909	0.635454545454545	2011_09_01	700	1	#F8766D
#F8766D	0.425324675324675	0.314545454545455	2011_09_01	701	1	#F8766D
#F8766D	0.356363636363636	0.648939393939394	2011_09_01	702	1	#F8766D
#F8766D	0.414285714285714	0.281515151515151	2011_09_01	703	1	#F8766D
#F8766D	0.240779220779221	0.700909090909091	2011_09_01	706	1	#F8766D
#F8766D	0.37948051948052	0.671666666666667	2011_09_01	707	1	#F8766D
#F8766D	0.344155844155844	0.877121212121212	2011_09_01	708	1	#F8766D
#F8766D	0.523506493506493	0.776666666666667	2011_09_01	709	1	#F8766D
#F8766D	0.278961038961039	0.411060606060606	2011_09_01	710	1	#F8766D
#F8766D	0.323246753246753	0.423333333333333	2011_08_29	711	1	#F8766D
#F8766D	0.282727272727273	0.462272727272727	2011_08_29	712	1	#F8766D
#F8766D	0.246753246753247	0.413939393939394	2011_08_29	713	1	#F8766D
#F8766D	0.331818181818182	0.402878787878788	2011_08_29	714	1	#F8766D
#F8766D	0.545064935064935	0.620151515151515	2011_08_29	715	1	#F8766D
#F8766D	0.314285714285714	0.230454545454545	2011_08_29	716	1	#F8766D
#F8766D	0.481948051948052	0.643484848484849	2011_08_29	717	1	#F8766D
#F8766D	0.324415584415584	0.558636363636364	2011_08_29	718	1	#F8766D
#F8766D	0.463506493506494	0.409848484848485	2011_08_29	719	1	#F8766D
#F8766D	0.364415584415584	0.386818181818182	2011_08_30	720	1	#F8766D
#F8766D	0.463506493506494	0.698181818181818	2011_08_30	721	1	#F8766D
#F8766D	0.372597402597403	0.645454545454546	2011_08_30	722	1	#F8766D
#F8766D	0.384415584415584	0.241818181818182	2011_09_02	729	1	#F8766D
#F8766D	0.348831168831169	0.342272727272727	2011_09_02	730	1	#F8766D
#F8766D	0.383506493506494	0.65030303030303	2011_09_02	731	1	#F8766D
#F8766D	0.459090909090909	0.567272727272727	2011_09_01	735	1	#F8766D
#F8766D	0.326233766233766	0.371515151515152	2011_08_30	736	1	#F8766D
#00BFC4	0.450909090909091	0.275151515151515	2011_08_30	737	1	#00BFC4
#F8766D	0.377012987012987	0.299545454545455	2011_08_30	738	1	#F8766D
#F8766D	0.32961038961039	0.293787878787879	2011_08_30	739	1	#F8766D
#F8766D	0.42	0.516515151515151	2011_09_01	746	1	#F8766D
#F8766D	0.362467532467532	0.679393939393939	2011_09_01	747	1	#F8766D
#F8766D	0.221688311688312	0.374242424242424	2011_09_01	748	1	#F8766D
#F8766D	0.381428571428572	0.463787878787879	2011_09_01	749	1	#F8766D
#F8766D	0.442467532467533	0.647121212121212	2011_09_01	750	1	#F8766D
#00BFC4	0.370649350649351	0.42	2011_09_01	751	1	#00BFC4
#F8766D	0.356883116883117	0.41469696969697	2011_08_30	755	1	#F8766D
#F8766D	0.28961038961039	0.301515151515152	2011_08_30	756	1	#F8766D
#F8766D	0.375584415584416	0.343181818181818	2011_08_30	757	1	#F8766D
#F8766D	0.711298701298701	0.562727272727273	2011_08_30	758	1	#F8766D
#00BFC4	0.144675324675325	0.453181818181818	2011_08_30	759	1	#00BFC4
#F8766D	0.500779220779221	0.654545454545455	2011_08_30	760	1	#F8766D
#00BFC4	0.485324675324675	0.331363636363636	2011_09_01	761	1	#00BFC4
#00BFC4	0.286623376623377	0.522424242424242	2011_09_01	762	1	#00BFC4
#F8766D	0.376363636363636	0.69969696969697	2011_09_01	763	1	#F8766D
#F8766D	0.291168831168831	0.288939393939394	2011_09_01	764	1	#F8766D
#F8766D	0.477532467532468	0.363787878787879	2011_09_01	765	1	#F8766D
#F8766D	0.418571428571429	0.418333333333333	2011_09_01	766	1	#F8766D
#F8766D	0.650649350649351	0.498181818181818	2011_09_01	767	1	#F8766D
#F8766D	0.204675324675325	0.47469696969697	2011_08_30	768	1	#F8766D
#F8766D	0.343376623376623	0.429545454545455	2011_08_30	769	1	#F8766D
#F8766D	0.275714285714286	0.434090909090909	2011_08_30	770	1	#F8766D
#F8766D	0.502207792207792	0.505757575757576	2011_09_06	771	1	#F8766D
#F8766D	0.411428571428571	0.643030303030303	2011_09_06	772	1	#F8766D
#F8766D	0.669220779220779	0.554848484848485	2011_09_06	773	1	#F8766D
#F8766D	0.247792207792208	0.397878787878788	2011_09_06	774	1	#F8766D
#F8766D	0.389220779220779	0.631363636363636	2011_09_06	775	1	#F8766D
