fill	x	y	tooltip	clickSelects	PANEL	group	xmin	xmax	ymin	ymax	colour	size
#E4E4F1	0.297979797979798	0.556818181818182	( 0.73 ,  1.04 )	px=-1; pz=2.7	8	1358	0.247474747474747	0.348484848484849	0.5	0.613636363636364	#E4E4F1	0
#F3F3F9	0.297979797979798	0.670454545454545	( 0.56 ,  1.28 )	px=-1; pz=3.2	8	1310	0.247474747474747	0.348484848484849	0.613636363636364	0.727272727272727	#F3F3F9	0
#FAFAFC	0.297979797979798	0.784090909090909	( 0 ,  1 )	px=-1; pz=3.7	8	34	0.247474747474747	0.348484848484849	0.727272727272727	0.840909090909091	#FAFAFC	0
#FDFDFE	0.297979797979798	0.897727272727273	( 0 ,  Inf )	px=-1; pz=4.2	8	209	0.247474747474747	0.348484848484849	0.840909090909091	0.954545454545454	#FDFDFE	0
#FFFFFF	0.398989898989899	0.102272727272727	( 0 ,  Inf )	px=-0.5; pz=0.7	8	111	0.348484848484849	0.44949494949495	0.0454545454545455	0.159090909090909	#FFFFFF	0
#FCF9F9	0.398989898989899	0.215909090909091	( 0.88 ,  12.9 )	px=-0.5; pz=1.2	8	1411	0.348484848484849	0.44949494949495	0.159090909090909	0.272727272727273	#FCF9F9	0
#A86666	0.398989898989899	0.329545454545455	( 1.9 ,  2.64 )	px=-0.5; pz=1.7	8	1681	0.348484848484849	0.44949494949495	0.272727272727273	0.386363636363636	#A86666	0
#F8F3F3	0.398989898989899	0.443181818181818	( 1.02 ,  1.05 )	px=-0.5; pz=2.2	8	1586	0.348484848484849	0.44949494949495	0.386363636363636	0.5	#F8F3F3	0
#FEFDFD	0.398989898989899	0.556818181818182	( 1 ,  1.01 )	px=-0.5; pz=2.7	8	1525	0.348484848484849	0.44949494949495	0.5	0.613636363636364	#FEFDFD	0
#FCFAFA	0.398989898989899	0.670454545454545	( 0.97 ,  1.06 )	px=-0.5; pz=3.2	8	1468	0.348484848484849	0.44949494949495	0.613636363636364	0.727272727272727	#FCFAFA	0
#FBFBFD	0.398989898989899	0.784090909090909	( 0.35 ,  1.72 )	px=-0.5; pz=3.7	8	1257	0.348484848484849	0.44949494949495	0.727272727272727	0.840909090909091	#FBFBFD	0
#FEFEFE	0.398989898989899	0.897727272727273	( 0 ,  Inf )	px=-0.5; pz=4.2	8	137	0.348484848484849	0.44949494949495	0.840909090909091	0.954545454545454	#FEFEFE	0
#FEFEFE	0.5	0.102272727272727	( 0 ,  Inf )	px=0; pz=0.7	8	553	0.44949494949495	0.55050505050505	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FBF7F7	0.5	0.215909090909091	( 1.77 ,  10.72 )	px=0; pz=1.2	8	1673	0.44949494949495	0.55050505050505	0.159090909090909	0.272727272727273	#FBF7F7	0
#A76464	0.5	0.329545454545455	( 1.75 ,  2.19 )	px=0; pz=1.7	8	1670	0.44949494949495	0.55050505050505	0.272727272727273	0.386363636363636	#A76464	0
#FCFAFA	0.5	0.443181818181818	( 1.01 ,  1.02 )	px=0; pz=2.2	8	1569	0.44949494949495	0.55050505050505	0.386363636363636	0.5	#FCFAFA	0
#FEFEFE	0.5	0.556818181818182	( 1 ,  1 )	px=0; pz=2.7	8	1518	0.44949494949495	0.55050505050505	0.5	0.613636363636364	#FEFEFE	0
#FEFEFE	0.5	0.670454545454545	( 0.97 ,  1.03 )	px=0; pz=3.2	8	1463	0.44949494949495	0.55050505050505	0.613636363636364	0.727272727272727	#FEFEFE	0
#FAFAFC	0.5	0.784090909090909	( 0.37 ,  1.44 )	px=0; pz=3.7	8	1266	0.44949494949495	0.55050505050505	0.727272727272727	0.840909090909091	#FAFAFC	0
#FFFFFF	0.5	0.897727272727273	( 0 ,  Inf )	px=0; pz=4.2	8	579	0.44949494949495	0.55050505050505	0.840909090909091	0.954545454545454	#FFFFFF	0
#FEFEFE	0.601010101010101	0.102272727272727	( 0 ,  Inf )	px=0.5; pz=0.7	8	602	0.55050505050505	0.651515151515151	0.0454545454545455	0.159090909090909	#FEFEFE	0
#FBF7F7	0.601010101010101	0.215909090909091	( 1.74 ,  11.84 )	px=0.5; pz=1.2	8	1669	0.55050505050505	0.651515151515151	0.159090909090909	0.272727272727273	#FBF7F7	0
#B17575	0.601010101010101	0.329545454545455	( 1.64 ,  1.99 )	px=0.5; pz=1.7	8	1658	0.55050505050505	0.651515151515151	0.272727272727273	0.386363636363636	#B17575	0
